Temperature,Humidity,Sunlight,CO2_Emitted_Cars,CO2_Absorbed_Trees,O2_Released_Trees,Carbon_Credit_Score
27.49080237694725,41.10797573031718,335.53511536231537,369.0811976835592,250.19855739925748,257.4542081109768,3.59
39.01428612819832,62.514056842701486,322.2809191647998,418.6725588765489,331.9013152549952,289.3742637500086,4.14
34.6398788362281,82.37675015258449,915.629122468933,200.1871595169996,316.05632542655565,441.81895728087216,8.23
31.973169683940732,73.93349318457368,324.59157986455546,349.94963984279957,103.86496664282079,236.00175442395687,2.32
23.12037280884873,78.39366887168698,344.7547535157679,328.69839325749945,102.23731440951588,447.8598739248685,4.27
23.119890406724053,69.52700200264304,783.4584361761673,433.13215071530846,143.86102871071967,135.2537723906766,1.19
21.161672243363988,71.53659387107115,504.765858205486,462.4348241925042,176.37615421936303,410.7193748834523,3.19
37.3235229154987,80.95173909391916,799.0395012596631,104.86270859095472,192.95945349296892,439.0190532218945,8.05
32.022300234864176,44.98008053155115,158.82954180794673,369.6079676235171,287.8940258916708,172.7270611349355,3.2
34.161451555920905,59.36549781858843,538.8140743060459,120.73431964789161,69.83815125804239,272.13861294888017,5.07
20.411689885916047,43.27256650917613,130.25224016495437,319.54346603094234,62.13544647912323,166.19990986546225,1.48
39.39819704323989,89.26008047979883,156.3878831098191,215.0530916174713,187.16869703036815,382.6416515976871,5.88
36.648852816008436,86.64356038119679,915.7937080099698,222.71063980885648,294.0072922482932,314.13910722466267,6.75
24.246782213565524,32.365608682110356,225.32083400583565,241.18340138094263,117.7023700347689,354.1293386833284,4.47
23.636499344142013,72.33451035094131,579.1786140476954,348.51697961984405,274.5265684396881,178.59478678248445,3.72
23.668090197068675,85.51489904493995,469.9860423406359,233.61998626750767,140.9398482791048,184.6983448209678,3.8
26.084844859190753,40.83452070764001,412.6089936329584,393.07962023611213,360.13013808473073,116.59893020396254,3.32
30.495128632644757,64.07671383315777,909.8500111185452,261.81095422954786,363.4914804933158,228.82701407829188,6.2
28.638900372842315,84.92929785528251,119.64105709794055,127.34128012398344,154.05052149846426,323.89786453346994,6.09
25.824582803960837,32.03675871514793,697.4107175580302,413.5039369936429,130.49781388713419,443.17396559893155,3.53
32.23705789444759,71.84521603481039,967.0549907921953,214.3033298370824,193.95639022318093,366.7709789834723,6.24
22.789877213040835,47.840940442353045,604.1513651156578,273.10675183970505,134.18605481305207,274.15852935990057,3.9
25.842892970704362,85.46377172259182,943.1402158297826,374.17755328876063,285.33434515209626,481.2480457576551,6.19
27.327236865873836,88.26349470992207,147.0320913574214,232.9824628594848,339.12263959189994,387.6980802303327,7.2
29.12139968434072,86.65598934680604,476.91398716674524,122.63426245868625,285.5822458189259,472.06608114502,8.85
35.70351922786027,58.45285299944783,334.14201186584603,249.56841880512545,338.5226565372723,311.0351893088663,6.39
23.993475643167194,81.72255905935882,757.7388684826568,477.77943307772136,188.94725677261596,203.56170991725583,1.68
30.284688768272233,80.67296391210422,983.167381447522,356.69375891942326,104.71093974810131,121.1306745458888,1.76
31.848291377240848,49.146028394595334,330.877056199823,368.5916594668828,308.28283158915724,390.43394059354017,5.26
20.929008254399953,79.73492844904064,688.757141326667,352.9128614550559,176.16607679954387,148.52119920221367,2.55
32.150897038028766,32.220458082929554,278.28786948376614,179.5968555837747,284.9447888301964,221.11005130878686,5.84
23.41048247374583,65.77619270892319,608.7972291144489,267.33354564091206,144.72537969361798,312.98836315355896,4.46
21.30103185970559,43.80053023726218,517.5392380195026,400.3759193453273,78.43037218233543,325.76663511189906,2.18
38.977710745066666,37.23401314663673,974.8047966683833,140.54915902126368,397.40362842071715,340.2332787948544,8.8
39.31264066149119,34.61719209775255,647.6745454268199,211.1411104358849,104.67052777570976,166.50213213988025,3.47
36.167946962329225,71.77732655268838,414.5557348781369,210.52764338634145,395.94734788721837,251.8949619286595,7.05
26.092275383467413,50.39249782608397,202.68620639914002,272.8075710378024,392.04797639825654,346.87769084678666,6.81
21.95344228012768,73.48600629172569,236.1221458614411,492.147496376874,327.8363363678139,487.9275458535139,4.8
33.684660530243136,33.92138044793654,302.7852369561116,127.00101867352878,280.7980367286991,391.0524550798755,7.79
28.803049874792027,48.91742026983662,325.8699952062682,307.480397752238,252.23246758787965,469.04150283758315,6.05
22.440764696895577,62.36947754252023,865.554452057024,171.7458728048842,353.13554088224214,404.8848233256708,8.53
